iter	Passed	Remaining
0	183	183157
1	198	99258
2	210	69848
3	219	54547
4	229	45701
5	237	39345
6	247	35120
7	256	31766
8	261	28822
9	270	26776
10	276	24868
11	283	23380
12	289	21987
13	295	20814
14	302	19844
15	307	18918
16	314	18160
17	320	17470
18	326	16880
19	333	16325
20	338	15792
21	344	15327
22	350	14882
23	355	14470
24	361	14103
25	367	13751
26	372	13429
27	381	13230
28	388	13000
29	397	12855
30	403	12628
31	411	12437
32	417	12232
33	423	12041
34	429	11835
35	436	11686
36	443	11535
37	449	11368
38	454	11205
39	460	11055
40	466	10901
41	472	10770
42	478	10640
43	483	10515
44	490	10399
45	495	10284
46	501	10176
47	507	10072
48	513	9972
49	519	9872
50	525	9770
51	530	9673
52	536	9577
53	541	9487
54	547	9404
55	552	9318
56	558	9236
57	564	9165
58	569	9090
59	577	9048
60	585	9010
61	595	9003
62	601	8946
63	610	8925
64	616	8868
65	622	8804
66	628	8755
67	634	8695
68	640	8642
69	646	8585
70	652	8531
71	657	8480
72	663	8428
73	669	8375
74	676	8338
75	683	8312
76	689	8263
77	693	8197
78	699	8153
79	705	8109
80	710	8066
81	716	8022
82	722	7983
83	728	7940
84	733	7900
85	739	7859
86	745	7820
87	751	7785
88	756	7748
89	762	7712
90	768	7679
91	775	7651
92	784	7655
93	795	7671
94	806	7683
95	819	7715
96	826	7694
97	837	7704
98	847	7711
99	853	7684
100	860	7660
101	867	7633
102	873	7604
103	881	7591
104	886	7559
105	892	7531
106	898	7498
107	903	7466
108	910	7441
109	916	7413
110	922	7385
111	930	7374
112	936	7347
113	941	7320
114	948	7297
115	954	7274
116	960	7247
117	967	7231
118	975	7218
119	982	7205
120	992	7207
121	997	7180
122	1007	7180
123	1012	7154
124	1020	7143
125	1026	7121
126	1033	7104
127	1039	7080
128	1045	7059
129	1051	7038
130	1057	7014
131	1063	6992
132	1069	6969
133	1074	6943
134	1080	6922
135	1086	6900
136	1091	6876
137	1097	6853
138	1102	6829
139	1108	6808
140	1114	6790
141	1120	6771
142	1126	6750
143	1132	6731
144	1138	6715
145	1144	6696
146	1150	6674
147	1155	6653
148	1161	6634
149	1167	6616
150	1179	6631
151	1186	6619
152	1193	6607
153	1203	6612
154	1213	6616
155	1219	6598
156	1226	6587
157	1232	6569
158	1239	6556
159	1245	6539
160	1251	6522
161	1257	6503
162	1262	6485
163	1270	6474
164	1276	6459
165	1282	6441
166	1288	6425
167	1293	6407
168	1299	6388
169	1305	6371
170	1310	6353
171	1316	6336
172	1321	6318
173	1327	6301
174	1333	6284
175	1338	6267
176	1344	6250
177	1350	6236
178	1356	6221
179	1362	6206
180	1368	6190
181	1376	6188
182	1384	6179
183	1391	6168
184	1402	6177
185	1407	6161
186	1416	6159
187	1424	6152
188	1431	6142
189	1437	6127
190	1444	6117
191	1451	6106
192	1457	6094
193	1464	6083
194	1471	6072
195	1477	6060
196	1483	6048
197	1490	6036
198	1496	6023
199	1502	6010
200	1508	5997
201	1514	5984
202	1520	5970
203	1526	5957
204	1533	5945
205	1539	5932
206	1545	5920
207	1551	5906
208	1557	5895
209	1564	5884
210	1570	5871
211	1575	5857
212	1582	5848
213	1590	5843
214	1598	5835
215	1605	5828
216	1616	5831
